Time (seconds),DLS Value,Temperature
0.0002741813659667969,634.0,30.25
0.0004930496215820312,646.0,36.85
0.0006430149078369141,643.0,37.07
0.000797271728515625,634.0,37.41
0.0009372234344482422,661.0,37.64
0.0012693405151367188,634.0,38.44
0.0014309883117675781,664.0,38.09
0.0015721321105957031,636.0,37.3
0.0017142295837402344,641.0,40.3
0.001852273941040039,654.0,38.55
0.0019922256469726562,633.0,39.72
0.0021333694458007812,675.0,39.72
0.002273082733154297,649.0,38.21
0.002412080764770508,634.0,38.21
0.002552032470703125,683.0,38.44
0.002698183059692383,638.0,37.52
0.0028371810913085938,651.0,39.6
0.0029752254486083984,653.0,38.21
0.003113269805908203,634.0,37.64
0.003269195556640625,682.0,38.21
0.003406047821044922,641.0,37.52
0.0035440921783447266,637.0,37.07
0.0036821365356445312,632.0,40.78
0.003821134567260742,678.0,39.13
0.003959178924560547,644.0,37.98
0.004096031188964844,633.0,39.95
0.008912086486816406,647.0,41.14
0.02540421485900879,682.0,39.72
0.04581117630004883,641.0,38.09
0.06239819526672363,634.0,39.02
0.07896804809570312,633.0,41.5
0.09509921073913574,659.0,40.78
0.11584615707397461,667.0,38.9
0.13225698471069336,648.0,37.98
0.14823222160339355,635.0,37.18
0.16501808166503906,633.0,39.13
0.1855170726776123,632.0,41.14
0.20155119895935059,671.0,40.19
0.2178349494934082,662.0,38.67
0.23407626152038574,647.0,37.75
0.2548701763153076,643.0,37.41
0.27149415016174316,637.0,37.07
0.2878682613372803,634.0,37.07
0.30396008491516113,632.0,40.66
0.32471609115600586,672.0,39.95
0.3411521911621094,657.0,40.3
0.35707807540893555,677.0,39.02
0.3735342025756836,648.0,37.98
0.39411211013793945,640.0,37.41
0.41033434867858887,641.0,37.18
0.42681312561035156,635.0,36.96
0.4432351589202881,632.0,40.66
0.4639911651611328,684.0,39.25
0.4805769920349121,651.0,38.09
0.49648523330688477,647.0,37.64
0.5129992961883545,648.0,37.41
0.5330932140350342,643.0,37.3
0.5496902465820312,638.0,37.07
0.5663821697235107,637.0,36.96
0.5827891826629639,637.0,36.85
0.6032881736755371,640.0,36.96
0.6191091537475586,640.0,36.96
0.6354002952575684,646.0,37.07
0.6516861915588379,653.0,37.3
0.6721012592315674,657.0,37.52
0.6885931491851807,682.0,37.98
0.7048981189727783,679.0,38.67
0.7212841510772705,684.0,38.44
0.7417593002319336,671.0,38.21
0.7581121921539307,664.0,39.36
0.7744760513305664,668.0,39.6
0.7908401489257812,632.0,41.14
0.8113441467285156,632.0,41.62
0.8277652263641357,634.0,38.9
0.8440802097320557,635.0,37.52
0.8605811595916748,648.0,37.41
0.8810350894927979,649.0,37.41
0.8974921703338623,684.0,38.09
0.9138031005859375,669.0,39.02
0.9301002025604248,632.0,41.38
0.9507651329040527,632.0,41.86
0.9672331809997559,632.0,42.47
0.983445405960083,634.0,38.78
0.9998161792755127,638.0,37.64
1.0202951431274414,642.0,37.3
1.0366461277008057,656.0,37.41
1.0530571937561035,685.0,38.09
1.0694231986999512,632.0,40.66
1.0899462699890137,635.0,38.21
1.106311321258545,636.0,37.3
1.1226601600646973,639.0,37.18
1.1390912532806396,654.0,37.41
1.1595640182495117,685.0,38.09
1.175887107849121,633.0,39.48
1.1923513412475586,633.0,39.83
1.208665132522583,637.0,37.98
1.229166030883789,653.0,37.75
1.2456071376800537,672.0,37.98
1.2619142532348633,633.0,39.36
1.2783591747283936,637.0,37.75
1.2987072467803955,660.0,37.75
1.315162181854248,632.0,40.78
1.3315613269805908,636.0,38.32
1.347987174987793,669.0,38.09
1.3684983253479004,640.0,40.54
1.3847763538360596,635.0,38.21
1.4011282920837402,641.0,37.52
1.4175481796264648,684.0,38.09
1.4380772113800049,634.0,37.3
1.4544661045074463,638.0,37.07
1.4708590507507324,668.0,38.67
1.487229347229004,633.0,39.36
1.5076873302459717,642.0,37.98
1.5240581035614014,678.0,38.67
1.5405213832855225,635.0,37.52
1.55680513381958,642.0,37.3
1.5773041248321533,661.0,39.02
1.5936870574951172,634.0,38.09
1.6100590229034424,646.0,37.64
1.6265180110931396,657.0,39.48
1.6468663215637207,633.0,39.6
1.663231372833252,662.0,38.44
1.679685115814209,633.0,39.83
1.6964123249053955,674.0,38.78
1.7165122032165527,633.0,38.78
1.7329342365264893,645.0,37.75
1.749312162399292,659.0,39.36
1.7657420635223389,638.0,37.75
1.7864971160888672,675.0,38.55
1.8025174140930176,637.0,37.52
1.8188941478729248,654.0,37.52
1.835301160812378,634.0,37.3
1.855884075164795,668.0,37.75
1.8723130226135254,633.0,38.67
1.888533353805542,648.0,37.87
1.904928207397461,632.0,40.9
1.9254450798034668,640.0,38.44
1.9417431354522705,675.0,39.02
1.958160161972046,634.0,37.64
1.974628210067749,653.0,37.52
1.9950361251831055,632.0,40.3
2.0114810466766357,640.0,38.32
2.027867078781128,650.0,39.83
2.0442070960998535,637.0,37.98
2.0647542476654053,664.0,37.98
2.081104278564453,634.0,37.41
2.09745717048645,667.0,37.75
2.1138272285461426,635.0,37.18
2.1343321800231934,661.0,37.52
2.150724172592163,636.0,37.07
2.1670591831207275,662.0,39.02
2.1835131645202637,651.0,37.98
2.203953266143799,635.0,37.18
2.2204291820526123,672.0,38.67
2.2367312908172607,638.0,37.52
2.2530570030212402,682.0,38.21
2.2735211849212646,640.0,37.52
2.289917230606079,632.0,40.42
2.3063302040100098,664.0,38.78
2.3227062225341797,637.0,37.64
2.3431801795959473,673.0,38.67
2.359565019607544,641.0,37.64
2.375930070877075,633.0,38.67
2.392244338989258,679.0,38.78
2.4128401279449463,639.0,37.75
2.4291911125183105,635.0,40.78
2.4455690383911133,653.0,38.78
2.461977243423462,636.0,37.52
2.4824891090393066,661.0,39.25
2.4995052814483643,640.0,37.87
2.5153090953826904,633.0,39.13
2.5315990447998047,672.0,39.25
2.552025079727173,638.0,37.75
2.56844425201416,632.0,40.78
2.5848093032836914,652.0,38.67
2.601166248321533,636.0,37.52
2.621659278869629,633.0,39.13
2.6380491256713867,664.0,38.32
2.6543872356414795,640.0,37.52
2.6708950996398926,634.0,37.07
2.691272258758545,672.0,38.55
2.7076761722564697,650.0,37.87
2.7239811420440674,635.0,37.18
2.7404463291168213,634.0,37.41
2.760906219482422,682.0,38.32
2.777312994003296,659.0,37.98
2.7936761379241943,636.0,37.3
2.8101322650909424,664.0,39.02
2.830536127090454,657.0,38.21
2.84694504737854,636.0,37.3
2.8633100986480713,646.0,39.83
2.87968111038208,670.0,38.67
2.900182008743286,639.0,37.64
2.9167470932006836,635.0,37.07
2.9329652786254883,633.0,40.07
2.9493203163146973,673.0,39.6
2.969724178314209,669.0,38.55
2.986208200454712,642.0,37.64
3.0025830268859863,637.0,37.07
3.018913984298706,633.0,38.09
3.039419174194336,635.0,40.66
3.0558581352233887,665.0,38.9
3.0721662044525146,637.0,37.64
3.0885941982269287,634.0,37.07
3.1090643405914307,637.0,40.19
3.1253862380981445,671.0,38.9
3.141756296157837,650.0,37.98
3.1581671237945557,649.0,37.64
3.1786322593688965,638.0,37.18
3.1950173377990723,633.0,38.32
3.211433172225952,632.0,40.78
3.227752208709717,659.0,40.3
3.2486612796783447,684.0,39.13
3.2650532722473145,658.0,38.21
3.281740188598633,656.0,37.87
3.2978522777557373,645.0,37.41
3.3200151920318604,637.0,37.07
3.33512020111084,635.0,36.85
3.3573973178863525,636.0,36.85
3.3678061962127686,636.0,36.85
3.3875362873077393,635.0,36.73
3.4038472175598145,637.0,36.85
3.4202880859375,638.0,36.85
3.4365763664245605,635.0,36.85
3.4571592807769775,635.0,36.85
3.473454236984253,635.0,36.73
3.489790201187134,633.0,38.21
3.506279230117798,634.0,38.21
3.526703119277954,634.0,37.52
3.543109178543091,633.0,38.55
3.5599610805511475,632.0,40.9
3.576669216156006,666.0,40.42
3.597168207168579,673.0,39.72
3.613603115081787,648.0,40.3
3.629974126815796,646.0,40.9
3.6462371349334717,681.0,39.48
3.6667842864990234,662.0,39.95
3.6831610202789307,672.0,38.78
3.6993062496185303,660.0,38.09
3.7159132957458496,670.0,38.09
3.736422300338745,660.0,37.87
3.752798318862915,668.0,37.87
3.7687082290649414,680.0,38.55
3.785029172897339,659.0,39.48
3.805401086807251,656.0,39.83
3.821709156036377,638.0,41.38
3.8383920192718506,632.0,41.86
3.854701042175293,634.0,38.67
3.8753530979156494,635.0,37.52
3.8918561935424805,635.0,37.07
3.9081053733825684,638.0,36.96
3.9245660305023193,641.0,37.07
3.944826126098633,649.0,37.3
3.961041212081909,679.0,38.32
3.9775662422180176,680.0,38.78
3.9940102100372314,632.0,41.26
4.014814376831055,634.0,39.48
4.031341075897217,635.0,37.75
4.047706127166748,636.0,37.18
4.064165115356445,641.0,37.18
4.084563255310059,646.0,37.18
4.100626230239868,666.0,37.64
4.117256164550781,665.0,39.02
4.133379220962524,653.0,39.95
4.15414023399353,632.0,41.74
4.1705710887908936,634.0,38.55
4.186969041824341,638.0,37.52
4.206777095794678,642.0,37.3
4.223541259765625,652.0,37.41
4.240252256393433,654.0,39.36
4.256274223327637,633.0,40.19
4.276733160018921,635.0,38.09
4.293042182922363,640.0,37.41
4.30914306640625,654.0,37.52
4.325546979904175,685.0,38.09
4.345859050750732,636.0,41.02
4.36242413520813,635.0,38.44
4.378694295883179,639.0,37.52
4.395039319992065,656.0,37.64
4.415408134460449,662.0,39.25
4.431945323944092,633.0,39.72
4.448401212692261,640.0,38.09
4.465109348297119,669.0,38.09
4.485165119171143,661.0,39.36
4.502012252807617,633.0,40.07
4.518663167953491,636.0,38.09
4.535146951675415,640.0,37.41
4.554863214492798,674.0,37.87
4.57193922996521,675.0,38.55
4.588351249694824,632.0,41.14
4.604748010635376,635.0,38.44
4.624516248703003,662.0,38.09
4.641218185424805,632.0,40.9
4.657560110092163,638.0,38.32
4.674076318740845,683.0,38.44
4.694543123245239,634.0,38.21
4.711278200149536,637.0,37.41
4.72760009765625,651.0,37.52
4.74399733543396,679.0,38.32
4.764269113540649,633.0,39.48
4.783908128738403,640.0,37.98
4.814267158508301,683.0,38.55
4.815242290496826,634.0,37.87
4.838318109512329,640.0,37.41
4.850281238555908,656.0,37.52
4.866047382354736,634.0,38.21
4.887521028518677,645.0,37.64
4.904959201812744,633.0,39.6
4.920122146606445,640.0,37.98
4.951400279998779,666.0,37.98
4.952158212661743,633.0,39.83
4.9730751514434814,640.0,38.09
4.992213249206543,657.0,37.87
5.0053791999816895,634.0,37.3
